interval_id_interval,chord_id_chord
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,45
1,46
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,60
1,61
1,62
2,7
4,3
4,5
4,12
4,13
4,14
4,16
4,19
4,21
4,24
4,28
4,33
4,38
4,42
4,43
4,54
5,2
5,4
5,8
5,9
5,10
5,15
5,18
5,20
5,22
5,23
5,25
5,26
5,27
5,29
5,30
5,32
5,34
5,35
5,36
5,37
5,39
5,40
5,41
5,45
5,46
5,47
5,48
5,49
5,50
5,51
5,52
5,53
5,55
5,56
5,57
5,58
5,59
5,60
5,61
5,62
6,6
6,11
6,17
6,31
6,44
7,5
7,9
7,13
7,29
7,45
7,49
7,50
7,55
7,59
7,60
8,1
8,2
8,3
8,6
8,7
8,8
8,11
8,12
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,44
8,47
8,48
8,53
8,54
8,57
8,58
9,4
9,10
9,14
9,30
9,46
9,51
9,52
9,56
9,57
9,58
9,59
9,60
9,61
9,62
10,15
10,16
10,17
10,20
10,21
10,34
11,8
11,9
11,10
11,11
11,12
11,13
11,14
11,22
11,23
11,24
11,25
11,26
11,27
11,28
11,29
11,30
11,31
11,34
11,35
11,37
11,38
11,39
11,40
11,43
11,44
11,45
11,46
11,47
11,48
11,49
11,50
11,51
11,52
12,18
12,19
12,32
12,33
12,36
12,41
12,42
12,53
12,54
12,55
12,56
12,57
12,58
12,59
12,60
12,61
12,62
14,22
14,24
14,39
14,47
14,49
14,51
14,57
14,59
14,61
15,20
15,21
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,37
15,38
15,41
15,42
15,43
15,44
15,45
15,46
15,53
15,54
15,55
15,56
16,23
16,40
16,48
16,50
16,52
16,58
16,60
16,62
18,25
18,37
18,38
18,39
18,40
18,41
18,42
18,43
18,44
18,45
18,46
18,47
18,48
18,49
18,50
18,51
18,52
18,53
18,54
18,55
19,35
19,36
22,26
22,43
22,44
22,45
22,46
22,47
22,48
22,49
22,50
22,51
22,52
22,53
22,54
22,55
22,56
22,57
22,58
22,59
22,60
22,61
22,62
