interval_id_interval,note_id_note1,note_id_note2
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
1,11,11
1,12,12
2,1,2
2,2,3
2,3,4
2,4,5
2,5,6
2,6,7
2,7,8
2,8,9
2,9,10
2,10,11
2,11,12
15,12,1
3,1,3
3,2,4
3,3,5
3,4,6
3,5,7
3,6,8
3,7,9
3,8,10
3,9,11
3,10,12
14,11,1
14,12,2
4,1,4
4,2,5
4,3,6
4,4,7
4,5,8
4,6,9
4,7,10
4,8,11
4,9,12
13,10,1
13,11,2
13,12,3
5,1,5
5,2,6
5,3,7
5,4,8
5,5,9
5,6,10
5,7,11
5,8,12
12,9,1
12,10,2
12,11,3
12,12,4
11,9,1
11,10,2
11,11,3
11,12,4
6,1,6
6,2,7
6,3,8
6,4,9
6,5,10
6,6,11
6,7,12
10,8,1
10,9,2
10,10,3
10,11,4
10,12,5
9,1,7
9,2,8
9,3,9
9,4,10
9,5,11
9,6,12
9,7,1
9,8,2
9,9,3
9,10,4
9,11,5
9,12,6
8,1,7
8,2,8
8,3,9
8,4,10
8,5,11
8,6,12
8,7,1
8,8,2
8,9,3
8,10,4
8,11,5
8,12,6
7,1,7
7,2,8
7,3,9
7,4,10
7,5,11
7,6,12
7,7,1
7,8,2
7,9,3
7,10,4
7,11,5
7,12,6
10,1,8
10,2,9
10,3,10
10,4,11
10,5,12
6,6,1
6,7,2
6,8,3
6,9,4
6,10,5
6,11,6
6,12,7
12,1,9
12,2,10
12,3,11
12,4,12
11,1,9
11,2,10
11,3,11
11,4,12
5,5,1
5,6,2
5,7,3
5,8,4
5,9,5
5,10,6
5,11,7
5,12,8
13,1,10
13,2,11
13,3,12
4,4,1
4,5,2
4,6,3
4,7,4
4,8,5
4,9,6
4,10,7
4,11,8
4,12,9
14,1,11
14,2,12
3,3,1
3,4,2
3,5,3
3,6,4
3,7,5
3,8,6
3,9,7
3,10,8
3,11,9
3,12,10
15,1,12
2,2,1
2,3,2
2,4,3
2,5,4
2,6,5
2,7,6
2,8,7
2,9,8
2,10,9
2,11,10
2,12,11
